tagName,Count,Excerpt
"raid","3348","RAID, an acronym  originally for Redundant Array of Inexpensive Disks (today usually interpreted as  referred to as Redundant Array of Independent Disks), is a technology that provides increased storage performance and reliability through redundancy by spreading data across multiple disks using various algorithms (RAID-levels). RAID can be implemented in hardware storage controllers, or in software, usually as operating system/kernel features."
"windows-7","3301","Windows 7 is the Microsoft PC operating system released in October 2009.  It is the successor to Windows Vista and has been succeeded by Windows 8.  It shared the same UI style as Windows Vista, but was based on an incrementally newer version of the NT kernel (6.1, from 6.0) and was released in 6 major editions for both home and professional use."
"azure","3288","Microsoft Azure is a Platform as a Service (PaaS) and Infrastructure as a Service (IaaS) cloud computing platform by Microsoft. Users of the platform can deploy their applications onto cloud hosting benefiting from on-demand service, elastic scale, and a highly managed environment on a pay-as-you-go basis."
"exchange","3272","Questions about any version of Microsoft Exchange Server or Exchange Online, Microsoft's email and unified communications server product. Because of tight integration with other systems, related questions may overlap with Active Directory, Office 365, and Skype for Business (aka Lync Server or Office Communications Server). Questions about Microsoft Outlook may be a gray area, with Super User as an alternative site to ask on."
"routing","3216","the process by which data packets on communication networks are forwarded into the direction of their ultimate destination by routers."
"bash","3201","Bash is the Bourne Again SHell, the successor to the classic Unix sh (shell)."
"web-server","3068","Refers to the software or hardware that make up a webserver, delivering content on a private or public website."
"performance","3021","Questions about server hardware and software performance, or network performance."
"docker","2974","Docker is an open source project that automates the deployment of applications inside software containers."
"vmware-esxi","2961","VMWare ESXi is an installable/embeddable virtualization platform based around the ESXi Hypervisor. "
"proxy","2954","Device or program that stands between two or more interconnected programs/devices"
"redhat","2952","Red Hat is an open source technology solutions provider with offerings including Red Hat Enterprise Linux, open source applications, security and systems management, virtualization, Services Oriented Architecture (SOA) solutions, server and desktop operating systems, Java application software and services, and the JBoss Enterprise Middleware Suite.

Please also consider whether or not the more specific RHEL5 or 6 tags might be appropriate as well. "
"group-policy","2905","Group Policy is a built-in feature of the Microsoft Windows operating systems.  Group Policy allows administrators to automatically configure myriad options within the OS.  These policies can be configured, and applied, either locally to the computer via Local Group Policy or remotely within an Active Directory environment."
"smtp","2869","SMTP is the Simple Mail Transfer Protocol, the most recent standard of which is defined in RFC 5321.  It's the Internet standard for sending and receiving email."
"ssl-certificate","2824","SSL certificates are used to encrypt and authenticate connections to network servers, most popularly for web servers but also email, file transfers, and other network connections."
"openvpn","2815","OpenVPN is a free and open source software VPN solution. It allows secure point-to-point or site-to-site connections with routed or bridged configurations and remote access facilities. "
"windows-server-2012","2784","Windows Server 2012 is a server operating system from Microsoft.  It went RTM on August 1st of 2012, and to general release on September 4, 2012.  Like its predecessor, Server 2008 R2, it is only available in 64 bit versions.  It contains many substantial changes over it predecessor, and substantially streamlines the number of available versions, which are down to four: Foundation, Essentials, Standard and Datacenter."
"email-server","2691","Refers to the hardware or software that make up a server dedicated to sending and receiving emails. Many popular modern email servers bundle other functionality for contacts and calendaring along email delivery."
"logging","2645","Recording activity on the system (or of a particular program) for later reporting and analysis. Logins, logouts, web server page requests, etc might all be logged."
"centos7","2624","CentOS is a Linux distribution standing for ""Community ENTerprise Operating System"" and is a rebuild of ""Red Hat Enterprise Linux"" (RHEL), belonging to the same company that distributes RHEL (Red Hat, Inc.). The ""CentOS7"" tag refers to versions 7.x-xxxx of CentOS, working only on 64-bit hardware. Maintenance updates for CentOS/RHEL 7 will stop on June 30, 2024, with full updates ceasing in winter of 2019."
"reverse-proxy","2613","A reverse proxy is a type of proxy server that fetches resources from a specific defined set of servers for a client. It is used in cases when there is an advantage to not exposing the web server with the content directly whether it be for security reasons or because of a lack of available public IP addresses."
"linux-networking","2609","Linux Networking refers to any networking function performed by a server running Linux. A Linux server operating as a router or firewall are the most common applications. "
"virtualhost","2580","Questions relating to virtual hosting; that is, serving content for multiple logically-separate entities from the same machine.  Usually relates to name-based virtual hosting in the web server, but can also cover other protocols such as SMTP or IMAP."
"cisco","2559","Cisco is a provider of switches and routers to commercial consumers. Cisco devices  run IOS or NX-OS operating systems.  This is a generic tag to be used when no more specific tags are available. See the partial list of tags in the full Tag Wiki."
"ip","2551","IP - Internet Protocol, the most commonly-used set of rules for dispatching data across a large computer network."
".htaccess","2546","Directory-level configuration file found mostly on Apache web servers"
"ldap","2514","Lightweight Directory Access Protocol (LDAP) for reading and editing directories over an IP network"
"configuration","2502","Configuration is a general term that can refer to the arrangement of functional units according to their nature and characteristics. Also, it can refer to software configuration which more suitable for server-related topics."
"domain","2498","A collection of computers or other networked resources."
"load-balancing","2457","Load balancing deal with the techniques involved on using multiple systems to deal with high demands, balancing the load between those multiple systems. Questions deal with networking and server load balancing, using dedicated hardware or not."
"virtual-machines","2440","A virtual machine (VM) is a completely isolated guest operating system installation within a normal host operating system. It is a software implementation of a machine (i.e. a computer) that executes programs like a physical machine."
"ftp","2400","File Transfer Protocol is a standard network protocol used to transfer data across TCP-based networks between hosts."
"monitoring","2343","Applications or appliances that observe machines, systems and networks to find problems and notify administrators."
"mac-osx","2331","Mac OS X is an operating system from Apple Inc. It was the successor to Mac OS 9 and here the 'X' means 10. Mac OS X is based upon the NeXTSTEP and OpenStep OSes developed in the 1980s and 1990s by NeXT Inc., which Apple purchased in 1996."
"hard-drive","2265","Questions about hard disks' performance, issues, tips, and software."
"hyper-v","2261","Microsoft Hyper-V is a hypervisor-based virtualization system for x86-64 systems. Hyper-V exists in two variants: as a stand-alone product called Microsoft Hyper-V Server, and as an installable role in Windows Server 2008 and later. Both variants are able to run in Windows Server Core versions."
"https","2239","HTTPS stands for HTTP Secure and is a combination of HTTP and SSL/TLS (Secure Sockets Layer/Transport Layer Security) and is used to provide an encrypted connection to a website."
"tomcat","2138","Apache Tomcat is an open source software implementation of the Java Servlet and JavaServer Pages technologies released under the Apache License version 2. The Tomcat project started at Sun Microsystems and was donated by Sun to the Apache Software Foundation in 1999."
"iis-7","2133","IIS7 is the version of Microsoft's web server software released with Windows Server 2008."
"kvm-virtualization","2097","KVM (for Kernel-based Virtual Machine) is a full virtualization solution for Linux on x86 hardware containing virtualization extensions (Intel VT or AMD-V). It consists of a loadable kernel module, kvm.ko, that provides the core virtualization infrastructure and a processor specific module, kvm-intel.ko or kvm-amd.ko. KVM also requires a modified QEMU although work is underway to get the required changes upstream."
"exchange-2010","2078","Exchange 2010 is a Microsoft collaboration server product offering e-mail, calendar, and other functions."
"authentication","2063","A process of proving that an entity (commonly a user or organization) is who they claim to be, or who they were previously identified as being. Authentication does not guarantee that particular entity's identity absolutely, it just proves that they are the same agent that has previously successfully asserted their identity. There are three factors (types) of authentication, and a particular authentication process may combine two or more different factors."
"mod-rewrite","2050","URL rewriting module for Apache web servers"
"redirect","2048","HTTP or HTML mechanisms used for redirecting browsers to where the actual content is located"
"http","2010","HTTP stands for Hyper Text Transfer Protocol and is the protocol used to transfer information around the World Wide Web."
"bind","1999","BIND is a free, open source software implementation of the Domain Name System (DNS) protocols. The name BIND stands for ""Berkeley Internet Name Domain"", because the software originated in the early 1980s at the University of California at Berkeley. BIND is currently maintained and developed by the Internet Systems Consortium, a non-profit public benefit corporation with a mission to support a free and open internet."
"google-cloud-platform","1949","Google Cloud Platform provides cloud computing services that let you build applications and websites, store data, and analyze data on Google's infrastructure."
"dhcp","1932","DHCP stands for Dynamic Host Configuration Protocol and is an auto configuration protocol used on IP networks and an extension of the Bootstrap Protocol. "
"rewrite","1930","URL Rewriting maps an incoming URL to a modified URL, so that the request is processes as if the original request was made to the modified URL. This is often used to provide more search engine friendly URLs."
"router","1920","A device that connects two or more networks and is capable of forwarding data packets to a destination based on information contained within a packet and internal routing tables."
"unix","1894","Unix is a multitasking, multi-user computer operating system originally developed in 1969 by a group of AT&T employees at Bell Labs."
"memory","1887","Synonym for: RAM - Acronym for: Random Access Memory, a type of computer data storage."
"haproxy","1881","HAProxy is an open source, very fast and reliable solution offering high availability, load balancing, and proxying for TCP and HTTP-based applications. It is particularly suited for web sites crawling under very high loads while needing persistence or Layer7 processing."
"php-fpm","1870","PHP-FPM (FastCGI Process Manager) is an alternative PHP FastCGI implementation with some additional features useful for sites of any size, especially busier sites."
"sql-server-2008","1808","A version of Microsoft's database server, released in August 2008.  This is different than SQL Server 2008R2."
"filesystems","1802","A file system (or filesystem) is a means to organize data expected to be retained after a program terminates by providing procedures to store, retrieve and update data, as well as manage the available space on the device(s) which contain it."
"cron","1790","Cron is a time-based job scheduler in Unix-like computer operating systems. Cron enables users to schedule jobs (commands or shell scripts) to run periodically at certain times or dates. "
"storage","1771","Primarily questions about disk storage, sometimes questions about application storage or cloud storage. Always questions about storing data."
"postgresql","1764","PostgreSQL is a powerful, open source object-relational database system. It has more than 15 years of active development and a proven architecture that has earned it a strong reputation for reliability, data integrity, and correctness. It runs on all major operating systems, including Linux, UNIX (AIX, BSD, HP-UX, SGI IRIX, Mac OS X, Solaris, Tru64), and Windows."
"centos6","1758","CentOS is a Linux distribution standing for ""Community ENTerprise Operating System"" and is a rebuild of ""Red Hat Enterprise Linux"" (RHEL). The ""CentOS6"" tag refers to versions 6.x of CentOS."
"puppet","1754","Puppet is a configuration management tool (Unix & Windows) with its own Domain Specific Language."
"nat","1746","In computer networking, network address translation (NAT) is the process of modifying network address information in datagram (IP) packet headers while in transit across a traffic routing device for the purpose of remapping one IP address space into another."
"vps","1731","VPS is the acronym for `Virtual Private Server`.  Hosting companies provide customers the ability to rent computing resources, which are used to create and run virtual machines that are controlled by the customer, but run on the hosting company's hardware.  Such a VM is known as a VPS."
"java","1721","Programming language and runtime environment that allows compiled Java programs to run unchanged on most hardware and software platforms"
"samba","1721","Samba is a free software re-implementation, originally developed by Andrew Tridgell, of the SMB/CIFS networking protocol."
"nfs","1714","Network File System (NFS) is a network file system protocol originally developed by Sun Micro systems in 1984, allowing a user on a client computer to access files over a network in a manner similar to how local storage is accessed. NFS, like many other protocols, builds on the Open Network Computing Remote Procedure Call (ONC RPC) system. The Network File System is an open standard defined in RFCs."
"scripting","1693","A form of computer programming that — in the context of system administration — lends it self well to automating tasks."
"hardware","1647","Computer hardware is the collection of physical elements that comprise a computer system."
"windows-xp","1621","**Windows XP is EOL it is past time to move on**.
Windows XP is an operating system produced by Microsoft for use on personal computers, including home and business desktops, laptops, and media centers. It was first released in August 2001, and is currently one of the most popular versions of Windows. The name ""XP"" is short for ""eXPerience."""
"wordpress","1574","WordPress is an open-source blogging & CMS platform. Questions about using WordPress, developing plugins and themes for WordPress, etc., may be welcome at our sister site wordpress.stackexchange.com"
"database","1563","System that handles large amounts of data in an organised fashion"
"python","1540","Python is a dynamically and strongly typed programming language that encourages readability."
"port","1510","Port is a generic term that can refer to port number (software related term), and computer hardware port. Here, questions referencing this tag refer to port numbers."
"installation","1509","The process of installing software on a computer/server. Can also refer to the process of installing hardware, e.g. in a datacenter."
"command-line-interface","1503","A command-line interface (CLI) is a mechanism for interacting with a computer operating system or software by typing commands to perform specific tasks."
"ipv6","1477","IPv6 is the successor to IPv4. Rather than 2^32 addresses (like IPv4), it has 2^128, which is 340,282,366,920,938,463,463,374,607,431,768,211,456 unique addresses (34 undecillion). IPv6 addressing is quite different to IPv4 and is not backwards compatible, but protocols that sit on top (HTTP, SSH, etc) remain unchanged."
"freebsd","1460","FreeBSD is an advanced operating system for a variety of architectures. It is derived from BSD, the version of UNIX® developed at the University of California, Berkeley; and is developed and maintained by a large team of individuals. It is a complete Operating System, including the kernel, drivers, and userland utilities such as shells. "
"tcp","1459","TCP stands for Transmission Control Protocol and is one of the core protocols of the Internet Protocol Suite. TCP complements the Internet Protocol (IP), and therefore the entire suite is commonly referred to as TCP/IP."
"cache","1458","A location or process for storing of transitory or temporary data in order to improve application or system performance."
"remote-desktop","1451","Software and/or protocols allowing a user to access the graphical desktop on a system from a remote computer. Common protocols are RDP from Microsoft, and RFB (used by VNC)."
"rsync","1451","Rsync is a fast and extraordinarily versatile file copying tool. It can copy locally, to/from another host over any remote shell, or to/from a remote rsync daemon"
"windows-server-2016","1446","Windows Server 2016 is the current server operating system from Microsoft. "
"hp","1442","HP (Hewlett-Packard) is a server and network equipment manufacturer.  This is a generic tag to be used when discussing HP hardware or software with no more specific tag available - See the list in the main tag wiki."
"domain-controller","1437","A domain controller is a server in a Microsoft Active Directory or NT4 domain that is responsible for central authentication."
"switch","1408","a device that bridges network segments, operating at the OSI link layer level."
"dovecot","1400","An IMAP and POP3 email server."
"network-share","1378","A shared resource or network share is a device or piece of information on a computer that can be remotely accessed from another computer, typically via a local area network or an enterprise Intranet, transparently as if it were a resource in the local machine."
"openssl","1375","OpenSSL: The Open Source Toolkit for SSL and TLS"
"yum","1369","YUM is an open-source command-line package-management utility for RPM-compatible Linux operating systems."
"httpd","1331","httpd is a typical process name of a web server."
"lvm","1325","In computer storage, Logical Volume Management or LVM provides a method of allocating space on mass-storage devices that is more flexible than conventional partitioning schemes."
"svn","1320","The acronym SVN stands for Subversion, a very common and popular Version Control System.
"
"spam","1306","Unsolicited e-mail, comments or posts, often sent out in large volumes; possibly but not necessarily commercial in nature"
"openldap","1302","OpenLDAP Software is a free, open source implementation of the Lightweight Directory Access Protocol (LDAP) developed by the OpenLDAP Project. LDAP is a platform-independent protocol for querying and modifying data using directory services running over TCP/IP."
"squid","1291","Squid is a FOSS package licensed under the GNU GPL and is primarily used as a web proxy server and cache."
"subdomain","1272","In the Domain Name System (DNS) hierarchy, a subdomain is a domain that is part of a larger domain.[1]"
"cluster","1271","A computer cluster consists of a set of loosely connected computers that work together so that in many respects they can be viewed as a single system."
"nagios","1267","Nagios is a monitoring system that enables organizations to identify and resolve IT infrastructure problems before they affect critical business processes."
"sendmail","1255","General purpose email routing software that supports mail transport via TCP/IP using SMTP"
"shell","1254","A shell is terminology for a command-line interpreter most commonly used with Unix-like operating systems, but also used to interact with GUI-based operating systems in a more granular fashion. 

Not only does it allows the user to run programs from a text interface, but frequently offers basic programming features such as variables, substitution, output redirection, and wildcards."
"sql","1245","Database language for managing data in relational database management systems (RDBMS).
Note that each database implements SQL with slight variations.  Please remember to tag with your specific database as well, e.g. [mysql], [postgres], [mssql], or [oracle]."
"iis-7.5","1226","IIS 7.5 is the version of IIS that ships with Windows 2008 R2, Windows Small Business Server 2011, and Windows 7. A subset of IIS 7.5 is provided by IIS Express, optionally installed by the Web Platform Installer."
"wifi","1223","WiFi is a layer 1 and 2 networking protocol for wireless communication between devices. It is typically used in local networks for client access, but can also be used in point-to-point network links. WPA is used to encrypt traffic."
"port-forwarding","1222","port-forwarding on firewall or via SSH"
"apache2","1221","The Apache HTTPd Server. When asking questions about virtualhosts, please include the output of the following command: ""apache2ctl -S"" (or ""httpd -S"" depending on your OS)"
"vmware-vsphere","1213","vSphere is an enterprise level virtualization solution. It acts as the cloud computing OS managing a set of VMware ESXi-based hosts."
"ansible","1205","Ansible is an open-source software platform for configuring and managing computers. It combines multi-node software deployment, ad-hoc task execution, and configuration management."
"asp.net","1205","Web application framework developed by Microsoft"
"zfs","1190","ZFS is a modern file system and volume manager originally developed by Sun Microsystems and licensed under the CDDL. It is a copy-on-write file system with support for large storage arrays, protection against corruption, snapshots, clones, compression, deduplication and NFSv4 ACLs.

An open-source fork of ZFS can be found at http://open-zfs.org/ , which is supported by ZFSonlinux.org, illumos.org and ZFS developers in the FreeBSD & Mac OS X communities."
"deployment","1190","Deployment is the process or collection activities that make a system available for use."
"certificate","1186","Certificates are a Public Key and Identifying Information"
"hosting","1178","A broad term for a service where a third party ""hosts"" (physically stores/runs) computers, content or services that are managed and/or maintained by the customer.

Questions that are specific to the current point in time (such as prices) are likely to be closed."
"migration","1173","The process of moving one system or service from one location or model to another."
"ubuntu-14.04","1161","Ubuntu 14.04, named ""Trusty Tahr"" is a Long Term Support release of Ubuntu Linux (released in April 2014).  Note that http://askubuntu.com is specifically dedicated to Ubuntu questions."
"solaris","1147","Solaris is a UNIX certified operating system owned and developed by Oracle for SPARC, x86 and x86-64 processor architectures."
"vlan","1137","Group of hosts with a common set of requirements connected as if on the same broadcast domain despite physical location"
"xen","1130","Xen is a hypervisor based virtualization. It supports x86, AMD64, IA64, ARM and other CPU types, and Linux, Windows, Solaris and *BSD guest operating systems."
"google-compute-engine","1129","Google Compute Engine offers scalable and flexible virtual machine computing capabilities in the cloud."
"hp-proliant","1117","Hewlett Packard's range of Intel and AMD-based free-standing, rackmount and blade servers."
"systemd","1108","systemd is a modern replacement for the traditional Linux init. Its main features include the ability to express dependencies between services and aggressive parallelization of service startup."
"kubernetes","1091","Kubernetes is an open source orchestration system for Docker containers. It handles scheduling onto nodes in a compute cluster and actively manages workloads to ensure that their state matches the users declared intentions. Using the concepts of ""labels"" and ""pods"", it groups the containers which make up an application into logical units for easy management and discovery."
"rdp","1089","rdp is Remote Desktop Protocol, used by Windows to view and control other Windows systems"
"mount","1077","Mounting is the concept of attaching a file system to a computer for access."
"sql-server-2005","1073","Microsoft's SQL Server is a relational database management system (RDBMS) that runs as a server providing multi-user access to a number of databases. This tag is for questions on the 2005 version"
"git","1070","Git is a distributed source control system."
"kerberos","1056","Kerberos is a computer network authentication protocol, which allows nodes communicating over a non-secure network to prove their identity to one another in a secure manner. Its designers aimed primarily at a client–server model, and it provides mutual authentication — both the user and the server verify each other's identity."
"fedora","1049","Fedora is a fast, stable, powerful, free RPM-based GNU/Linux operating system that is developed by the community-supported Fedora Project and sponsored by Red Hat. The Fedora Project's mission is to lead the advancement of free and open source software and content as a collaborative community."
"log-files","1033","A log file is a file, often in clear text, which is generated by a software process to record some specific details about the workings of this process."
"remote-access","1023","Questions about accessing a system or network from a remote computer or location. Consider using a more specific tag for your particular tool, e.g. VNC."
"ubuntu-12.04","1022","Ubuntu 12.04, named ""Precise Pangolin"" is Long Term Support (LTS) release of Ubuntu Linux.  LTS releases receive updates for 5 years and have available paid support from Canonical.  The version number comes from the year and month of release (April of 2012). "
"apt","1019","APT, the Advanced Packaging Tool, is Debian's high-level package management system. It is also used by several other Linux-based and Debian-based operating systems."
"virtualbox","1016","Oracle VM VirtualBox is a desktop virtualization product for x86, AMD64 and Intel64 processor architectures. "
"partition","1004","A partition is a means of logically dividing a computing resource (most frequently disk storage)"
"iis-6","999","IIS 6.0 is the version of IIS shipped with Windows Server 2003. It uses an architecture substantially different from IIS 5 and earlier versions, called Worker Process Isolation Mode."
"exim","994","Exim is a sendmail-compatible Mail Transfer Agent, licensed under the GPL, designed for Unix-like operating systems."
"boot","994","Booting is the initial set of operations that a computer system performs when electrical power is switched on. The process begins when a computer that has been turned off is re-energized, and ends when the computer is ready to perform its normal operations."
"amazon-s3","992","This is for questions on Amazon's cloud storage service."
"replication","983","Replication is the process of sharing information so as to ensure consistency between redundant resources, such as software or hardware components, to improve reliability, fault-tolerance, or accessibility."
"outlook","979","Outlook is a standalone or groupware client for Microsoft Exchange. It is used for Email, contacts, tasks and calendar."
"sharepoint","952","Microsoft SharePoint is a software platform and a family of software products developed by Microsoft for collaboration and web publishing combined. These capabilities include developing web sites, portals, intranets, content management systems, search engines, wikis, blogs, and other tools for business intelligence. This family of products include: Microsoft SharePoint Server, Microsoft SharePoint Foundation, Microsoft Search Server, Microsoft SharePoint D"
"django","939","Django, ""the web framework for perfectionists with deadlines"", is a Python-based framework for creating web applications. With a powerful object-based database mapper, a clean syntax for mapping URLs to views, a simple template language and a convenient automatically generated administration interface, Django is the most popular of the Python web frameworks."
"ubuntu-16.04","938","Ubuntu 16.04 - named ""Xenial Xerus"" - is a Long Term Support (LTS) release of Ubuntu Linux. Officially released on April 21, 2016, it will be supported for 5 years. Only use this tag if your question is version-specific."
"exchange-2007","932","Exchange Server 2007 is the version of Microsoft Exchange released in December 2006.  It replaced Exchange Server 2003 and was replaced by Exchange Server 2010.  Exchange Server is the email server product developed by Microsoft, and (most notably), integrates calendaring and contact management software with its email functionality."
"windows-10","924","Windows 10 is an operating system developed and released by Microsoft. The operating system is a return to its base for personal computer usage, unlike Windows 8/8.1 that was aimed more for the tablet audience. A demo was done in September 2014, beta in October 2014 and final release in July 29, 2015."
"service","923","A service (also daemon or server) is a programme that constantly runs in the background. It usually services requests. If you are asking about online services, please use a different tag."
"ipsec","907","IPsec (Internet Protocol Security) is a protocol for securing IP communications by authenticating and encrypting each IP packet of a communication session."
"high-availability","905","High availability is an architectural consideration often involving degrees of redundancy to insure availability in case of system or component failure."
"microsoft-office-365","905","Office 365 is Microsoft's subscription based cloud solution for business productivity. All server side components are hosted at Microsoft managed datacentres. Customers that subscribe to O365 have access to the latest business productivity software and can choose to be ""entirely cloud based"" or have a hybrid configuration where some on-premise servers are retained."
"web-hosting","903","The setting up and running of a server to serve web pages via the internet or LAN. Where you are not the administrator of the server the questions may be best asked on webmasters.stackexchange.com (for example if using shared hosting)."
"ruby-on-rails","895","Ruby on Rails is an open-source, MVC web development framework written in Ruby, optimized for programmer happiness and maintaining sustainable productivity. Many things are defined by convention, freeing you from having to re-invent things to stay productive."
"sftp","893","The SSH File Transfer Protocol, (sometimes called Secure File Transfer Protocol, Secure FTP), or SFTP, is a network protocol that provides file access, file transfer, and file management functionality over any reliable data stream."
"storage-area-network","888","A SAN is a Storage Area Network, for providing block-level access to storage subsystems across a network."
"file-permissions","880","Most current file systems have methods of administering permissions or access rights for specific users and groups of users. These systems control the ability of the users to view or modify the contents of the filesystem."
"node.js","879","Node.js is an event based, asynchronous I/O framework that uses Google's V8 JavaScript engine. Node.js is commonly used for heavy client-server JavaScript applications. NOTE: Please read the Tag-Wiki before asking questions."
"login","878","Login, or logon, meaning to authenticate with a computer."
"varnish","872","Varnish is a high-performance reverse proxy and load-balancer package for Linux/Unix systems."
"dell-poweredge","860","PowerEdge is the name that Dell has given to its server product line."
"password","860","A password is a collection of characters that is used, usually in conjunction with a username, as a means of authentication."
"php5","859","PHP is a general-purpose scripting language that is especially suited for Web development. The online manual is an excellent resource for the language syntax and has an extensive list of the built-in and extension functions. Most extensions can be found in PECL."
"ping","855","Ping is a mechanism to see if a remote host is reachable via an IP network"
"local-area-network","841","LAN, short for Local Area Network, is a network that connects multiple devices in a limited geographical area, such as a room, an apartment or a building. Currently, most LANs are based on Wi-Fi or Ethernet transmission."
"dell","839","Dell is a manufacturer of computer and networking equipment, for both SOHO and enterprise usage. In addition, Dell also offers consulting services. This is a generic tag to be used when no more specific tags are available."
"nameserver","833","A name server is a computer server that hosts a network service for providing responses to queries against a directory service."
"mongodb","830","MongoDB is a document oriented database (also known as NoSQL database). "
"bridge","820","Bridging is a forwarding technique used in packet-switched computer networks. Unlike routing, bridging makes no assumptions about where in a network a particular address is located."
"sudo","807","sudo is a tool which allows users to run commands as another user (usually the root user)"
